"","x"
"529",2602.8783
"530",17.0151
"531",1.5102
"532",2.4019
"533",6.615
"534",0
"535",268.1992
"536",639.3324
"537",132.2923
"538",269.5035
"539",358.6845
"540",382.1639
"541",241.6508
"542",6.4839
"543",321.3338
"544",853.3534
"545",645.1824
"546",779.8859
"547",759.1232
"548",4.5618
"549",2.5671
"550",0
"551",2.8377
"552",0
"553",6.6043
"554",1.5248
"555",3.2022
"556",2.9867
"557",0
"558",0.0211
"559",0.7499
"560",0
"561",0.17735
"562",2.1604
"563",0
"564",0
"565",2.5809
"566",4.468
"567",0.319
"568",1.3252
"569",1.0861
"570",0.5762
"571",0.8666
"572",0.00915
"573",0
"574",3788.6929
"575",1863.7828
"576",3417.3682
"577",2170.18245
"578",1560.8108
"579",2900.6142
"580",1574.21335
"581",2055.8819
"582",3008.3397
"583",2116.0521
"584",1448.6783
"585",1734.9986
"586",1757.3373
"587",2890.0568
"588",8.07495
"589",1840.78
"590",384.1233
"591",180.8169
"592",281.2737
"593",292.1569
"594",12.8474
"595",722.4329
"596",597.005
"597",734.3202
"598",997.694
"599",995.6312
"600",1042.4564
"601",905.46345
"602",4616.0739
"603",2984.0757
"604",1503.912
"605",20.6919
"606",44.3593
"607",25.2694
"608",60.8944
"609",39.1379
"610",27.3687
"611",41.5479
"612",43.474
"613",1.8961
"614",868.7622
"615",706.5417
"616",3172.0091
"617",588.51915
"618",2737.0713
"619",638.5199
"620",857.7247
"621",18.1432
"622",31.09125
"623",6.8337
"624",10.3026
"625",12.7098
"626",20.6131
"627",10.3858
"628",51.6194
"629",10.3177
"630",4.8031
"631",10.88075
"632",0.19375
"633",17.316
"634",20.6719
"635",13.9057
"636",35.312
"637",76.8036
"638",48.28445
"639",9.5941
"640",0.4263
"641",3.6368
"642",249.5438
"643",1100.3926
"644",484.8485
"645",6729.7964
"646",775.9939
"647",655.8181
"648",1067.3364
"649",865.4822
"650",16.6128
"651",224.5389
"652",441.5815
"653",219.2519
"654",672.096
"655",906.4168
"656",697.4015
"657",162.42335
"658",976.42185
"659",473.1424
"660",205.277
"661",1174.3144
"662",277.2918
"663",273.3865
"664",3.7008
"665",1765.237
"666",31.7916
"667",515.14245
"668",956.5217
"669",4374.0887
"670",4230.7058
"671",8700.2573
"672",10567.5899
"673",1312.5852
"674",935.9861
"675",21713.668
"676",418.0565
"677",15.9087
"678",0
"679",26.148
"680",0.8444
"681",0.208
"682",13.8211
"683",32.3807
"684",1837.0586
"685",0.80225
"686",9.9181
"687",0
"688",20.714
"689",17.1725
"690",4.964
"691",0.5299
"692",1.9914
"693",2.5897
"694",52.843
"695",6.8234
"696",20.5514
"697",6.0748
"698",22.2645
"699",4.19945
"700",0.07095
"701",0.4515
"702",0
"703",416.8491
"704",313.136
"705",392.9022
"706",1080.9008
"707",452.6201
"708",408.2062
"709",659.1369
"710",152.2615
"711",345.0473
"712",3.6657
"713",1.1534
"714",855.4365
"715",215.9172
"716",8.3409
"717",1.1607
"718",791.7459
"719",3.0344
"720",0.4495
"721",5.8508
"722",734.0684
"723",334.0249
"724",138.8889
"725",219.111
"726",191.0371
"727",224.6682
"728",405.3128
"729",124.6661
"730",245.6182
"731",27.9018
"732",169.6336
"733",308.2887
"734",248.2159
"735",171.87005
"736",5.10255
"737",118.7359
"738",1789.1194
"739",490.3041
"740",552.5578
"741",603.4642
"742",408.4937
"743",467.5536
"744",1990.2425
"745",9.9692
"746",0
"747",0
"748",0
"749",0.6619
"750",0
"751",0
"752",0.6605
"753",0
"754",0.1355
"755",0
"756",0
"757",26.8803
"758",3.0543
"759",0
"760",0.0233
"761",0
"762",2.9886
"763",3.62455
"764",0.3433
"765",68.5435
"766",0.5038
"767",16.0643
"768",14.3904
"769",19.73925
"770",0.3115
"771",6.6582
"772",14.7671
"773",52.9136
"774",1.6395
"775",72.8233
"776",12.4224
"777",17.81035
"778",4.3443
"779",18.3015
"780",2.7949
"781",0.3152
"782",82.6185
"783",18.8122
"784",27.6664
"785",26.38335
"786",82.1917
"787",14.8837
"788",39.6933
"789",123.4624
"790",131.8027
"791",551.96575
"792",271.6191
"793",141.44975
"794",11.9651
"795",22.46935
"796",432.5278
"797",40.1851
"798",12.1887
"799",1.0731
"800",27.8647
"801",21.6704
"802",1385.7975
"803",1284.3579
"804",2043.3409
"805",404.72835
"806",1727.5757
"807",666.14925
"808",656.0811
"809",563.38525
"810",1602.3777
"811",1253.367
"812",1012.951
"813",1060.8324
"814",611.79525
"815",19.16925
"816",809.9323
"817",245.4734
"818",127.17875
"819",183.16605
"820",67.83815
"821",53.8079
"822",789.1363
"823",408.6658
"824",26.1081
"825",131.23555
"826",23.5428
"827",129.4044
"828",584.7742
"829",68.694
"830",21.13695
"831",32.3668
"832",0.5259
"833",26.71725
"834",1802.3921
"835",252.77395
"836",381.893
"837",290.2367
"838",312.6085
"839",223.7519
"840",321.7059
"841",533.0269
"842",7.3826
"843",208.2452
"844",192.5037
"845",382.367
"846",608.3718
"847",421.5315
"848",510.7163
"849",369.9832
"850",458.93865
"851",3.4522
"852",368.8676
"853",7.9186
"854",7.286
"855",12.171
"856",9.13715
"857",10.69055
"858",9.635
"859",24.7734
"860",13.7291
"861",14.9335
"862",6.6092
"863",5.0573
"864",0.077
"865",4.48705
"866",2.2077
"867",1186.8053
"868",763.7247
"869",1007.7079
"870",574.5111
"871",312.527
"872",378.2669
"873",388.7752
"874",20.6642
"875",344.5824
"876",136.8955
"877",153.4456
"878",279.7501
"879",442.941
"880",4.9684
"881",807.1782
"882",874.2117
"883",711.40885
"884",657.5074
"885",948.6483
"886",539.3298
"887",3.5636
"888",396.5454
"889",1421.2259
"890",202.3584
