,geneSymbol,prob,probSD,SNR,pval_prob,qval_prob,pval_MutSig,qval_MutSig,protLength,uniquePosNdMAF,uniquePosNdMAFtumor,uniquePosNExactMatch,uniquePosNExactMatchtumor,casesN,SNRcorrected,MutSigPass,probPass,tumorType
675,ABCA12,0.018181818,0.018385239,0.988935627,0.07839608,0.087843031,0.7937253,1,2595,169,51,3,1,24,0.988935627,0,0,UCEC
676,ABCA1,0.034482759,0.033569328,1.027210271,0.054497275,0.075729547,0.5873616,1,2261,111,29,2,1,18,1.027210271,0,0,UCEC
677,ABCA4,0.111111111,0.062157821,1.787564445,0.000249988,0.004499775,0.9981802,1,2273,131,25,8,2,18,1.787564445,0,0,UCEC
678,ABCC6,0.071428571,0.066346445,1.076599822,0.033848308,0.075729547,0.2920474,1,1503,50,13,4,1,12,1.076599822,0,0,UCEC
679,ABCC9,0.071428571,0.048823765,1.462987775,0.00679966,0.033380149,0.9181573,1,1549,152,25,2,1,15,1.462987775,0,0,UCEC
680,ACADVL,0.333333333,0.150445813,2.21563716,0.000499975,0.0077139,0.2824269,1,655,22,8,2,2,7,2.21563716,0,1,UCEC
681,ACTA2,0.142857143,0.134048459,1.065712682,0.073546323,0.086336987,0.5450912,1,377,23,7,2,1,7,1.065712682,0,0,UCEC
682,ACTN1,0.111111111,0.104378376,1.064503156,0.036448178,0.075729547,0.6789942,1,892,31,8,2,1,8,1.064503156,0,0,UCEC
683,ACVR1,0.363636364,0.144598445,2.514801339,0.001249938,0.012762998,0.766151,1,509,30,9,2,2,10,2.514801339,0,1,UCEC
684,ADCK4,0.142857143,0.140742536,1.015024644,0.053447328,0.075729547,0.7145601,1,544,28,7,1,1,6,1.015024644,0,0,UCEC
685,ADSL,0.25,0.152842602,1.63566962,0.004249788,0.02699865,0.2843866,1,484,30,8,4,2,7,1.63566962,0,0,UCEC
686,ALDH1A3,0.125,0.116313211,1.074684454,0.06459677,0.08305299,0.3835007,1,512,25,8,1,1,7,1.074684454,0,0,UCEC
687,APP,0.055555556,0.053477889,1.038850952,0.086945653,0.092271857,0.2557138,1,770,41,17,1,1,14,1.038850952,0,0,UCEC
688,ATP1A2,0.038461538,0.036667644,1.048923091,0.103894805,0.105855085,0.5589139,1,1020,65,26,1,1,17,1.048923091,0,0,UCEC
689,ATP1A3,0.133333333,0.085290008,1.56329371,0.010299485,0.045573721,0.9842193,1,1013,64,14,3,2,13,1.56329371,0,0,UCEC
690,BAG3,0.166666667,0.159770491,1.043163009,0.042647868,0.075729547,0.5252782,1,575,22,6,1,1,6,1.043163009,0,0,UCEC
691,BCKDHA,0.2,0.175798593,1.137665536,0.0439978,0.075729547,1,1,445,17,5,1,1,3,1.137665536,0,0,UCEC
692,BCS1L,0.5,0.357571822,1.398320477,0.02039898,0.068846558,1,1,419,14,2,1,1,2,1.398320477,0,0,UCEC
693,BMPR2,0.083333333,0.077132314,1.080394574,0.04359782,0.075729547,0.4760794,1,1038,51,11,1,1,8,1.080394574,0,0,UCEC
694,BRAF,0.1,0.094492162,1.058288829,0.047047648,0.075729547,0.008912155,0.8181436,766,53,9,5,1,7,1.058288829,0,0,UCEC
695,BRCA1,0.058823529,0.057984477,1.014470294,0.036848158,0.075729547,0.5136469,1,1863,100,17,1,1,12,1.014470294,0,0,UCEC
696,BRCA2,0.016949153,0.017040312,0.994650344,0.065946703,0.083130727,0.1894721,1,3418,187,57,1,1,24,0.994650344,0,0,UCEC
697,CACNA1H,0.083333333,0.077174435,1.079804906,0.019499025,0.067932087,0.9868746,1,2353,70,11,1,1,11,1.079804906,0,0,UCEC
698,CAPN3,0.272727273,0.131736774,2.070244046,1.00E-04,0.002699865,0.5855007,1,821,46,11,5,3,8,2.070244046,0,1,UCEC
699,CBS,0.1,0.095855037,1.043241991,0.072146393,0.08562429,0.7092508,1,551,26,10,3,1,8,1.043241991,0,0,UCEC
700,CDT1,0.333333333,0.277939693,1.199300936,0.021748913,0.071178259,0.9436823,1,546,10,3,1,1,2,1.199300936,0,0,UCEC
701,CHST6,0.166666667,0.149933344,1.111605075,0.061696915,0.081259352,0.9361544,1,395,29,6,1,1,5,1.111605075,0,0,UCEC
702,CLCN7,0.125,0.116434171,1.073567995,0.041447928,0.075729547,0.9536736,1,805,26,8,1,1,7,1.073567995,0,0,UCEC
703,COL1A2,0.041666667,0.041829657,0.996103474,0.070746463,0.08562429,0.9948202,1,1366,152,24,6,1,17,0.996103474,0,0,UCEC
704,CPOX,0.166666667,0.154360399,1.079724256,0.05279736,0.075729547,0.8328931,1,454,19,6,1,1,6,1.079724256,0,0,UCEC
705,CPS1,0.12,0.065410092,1.8345793,0.00119994,0.012762998,0.8173219,1,1500,150,22,8,2,11,1.8345793,0,0,UCEC
706,CRB1,0.04,0.038767808,1.031783895,0.069546523,0.08562429,0.9999977,1,1406,114,25,4,1,13,1.031783895,0,0,UCEC
707,CTNNB1,0.7875,0.045960273,17.13436286,0,0,0,0,781,61,20,5,5,74,17.13436286,1,1,UCEC
708,CYBA,0.5,0.350169414,1.427880277,0.041497925,0.075729547,0.5119879,1,195,3,2,1,1,2,1.427880277,0,0,UCEC
709,DARS,0.142857143,0.135514955,1.054179907,0.05679716,0.075729547,0.8674947,1,501,27,7,1,1,5,1.054179907,0,0,UCEC
710,DBH,0.111111111,0.104872342,1.059489177,0.05679716,0.075729547,1,1,617,38,9,1,1,7,1.059489177,0,0,UCEC
711,EARS2,0.4,0.220730519,1.812164453,0.001299935,0.012762998,0.8741182,1,523,15,5,2,2,5,1.812164453,0,0,UCEC
712,ELAC2,0.125,0.116832184,1.069910671,0.038298085,0.075729547,0.8741815,1,826,28,8,1,1,7,1.069910671,0,0,UCEC
713,ERCC4,0.083333333,0.083217972,1.001386261,0.047747613,0.075729547,0.4399772,1,916,42,11,2,1,12,1.001386261,0,0,UCEC
714,EXT2,0.2,0.178082209,1.123076813,0.027498625,0.075729547,0.7226693,1,718,31,5,1,1,5,1.123076813,0,0,UCEC
715,F7,0.5,0.35300937,1.416392997,0.018699065,0.067932087,0.9302697,1,466,18,2,2,1,2,1.416392997,0,0,UCEC
716,FGFR2,0.5,0.087629592,5.705835084,4.98E-05,0.001791401,2.04E-06,0.001540707,821,70,17,5,3,31,5.705835084,1,1,UCEC
717,GALC,0.142857143,0.127487206,1.120560622,0.035298235,0.075729547,0.9951737,1,685,21,6,2,1,6,1.120560622,0,0,UCEC
718,GALT,0.333333333,0.280016206,1.19040729,0.02779861,0.075729547,1,1,379,18,3,1,1,3,1.19040729,0,0,UCEC
719,GAN,0.5,0.210398605,2.376441608,0.000149993,0.003239838,0.613581,1,597,28,6,3,3,5,2.376441608,0,1,UCEC
720,GATA6,0.25,0.215278383,1.161287057,0.026048698,0.075729547,0.7366982,1,595,15,4,1,1,4,1.161287057,0,0,UCEC
721,GCDH,0.166666667,0.149036781,1.118292183,0.053547323,0.075729547,0.4408565,1,438,29,6,2,1,6,1.118292183,0,0,UCEC
722,GFAP,0.142857143,0.129346536,1.10445279,0.046247688,0.075729547,0.9995949,1,432,11,5,1,1,6,1.10445279,0,0,UCEC
723,GJA1,0.2,0.18620449,1.074087955,0.052947353,0.075729547,0.8511771,1,382,33,5,3,1,5,1.074087955,0,0,UCEC
724,GJA3,0.2,0.186302089,1.073525266,0.04659767,0.075729547,0.6531549,1,435,8,5,1,1,4,1.073525266,0,0,UCEC
725,GNAO1,0.142857143,0.133685568,1.068605574,0.07839608,0.087843031,0.8255136,1,354,24,7,1,1,6,1.068605574,0,0,UCEC
726,HMBS,0.125,0.118555007,1.054362892,0.08959552,0.09230967,0.5802995,1,361,16,8,2,1,4,1.054362892,0,0,UCEC
727,HNF1A,0.166666667,0.152515609,1.092784323,0.031898405,0.075729547,0.2051785,1,631,32,5,3,1,6,1.092784323,0,0,UCEC
728,HSD17B3,0.166666667,0.150215709,1.109515562,0.07519624,0.087324666,0.2131222,1,310,13,6,1,1,6,1.109515562,0,0,UCEC
729,IDUA,0.2,0.1795695,1.113774892,0.0299985,0.075729547,0.9102241,1,653,20,5,1,1,5,1.113774892,0,0,UCEC
730,IYD,0.166666667,0.147597733,1.129195305,0.08279586,0.089959502,0.829209,1,289,15,6,1,1,4,1.129195305,0,0,UCEC
731,KCNE2,0.166666667,0.154185299,1.080950439,0.16479176,0.16633187,0.3689978,1,123,8,5,1,1,6,1.080950439,0,0,UCEC
732,KCNH2,0.133333333,0.085675423,1.556261167,0.00239988,0.01851336,0.5518099,1,1159,61,15,4,2,10,1.556261167,0,0,UCEC
733,KCNK3,0.111111111,0.108882329,1.020469642,0.089745513,0.09230967,0.3411634,1,394,15,9,1,1,7,1.020469642,0,0,UCEC
734,KCNQ1,0.2,0.170359215,1.17398991,0.03079846,0.075729547,0.9931874,1,676,27,5,3,1,5,1.17398991,0,0,UCEC
735,KIF22,0.2,0.178108289,1.122912366,0.0299985,0.075729547,1,1,665,20,5,1,1,3,1.122912366,0,0,UCEC
736,KMT2D,0.035714286,0.026190568,1.363631604,0.002249888,0.01851336,NA,1,5537,336,55,3,2,32,1.363631604,0,0,UCEC
737,KRAS,0.849056604,0.050378394,16.85358602,0.000699965,0.009449528,4.44E-16,1.68E-12,189,20,8,4,2,53,16.85358602,1,1,UCEC
738,LPL,0.125,0.08363251,1.494634083,0.01699915,0.06556815,0.1319173,1,475,42,16,2,2,12,1.494634083,0,0,UCEC
739,MAN2B1,0.076923077,0.072752092,1.057331483,0.051097445,0.075729547,0.8124178,1,1011,47,13,1,1,12,1.057331483,0,0,UCEC
740,MCCC2,0.2,0.179421828,1.114691578,0.034348283,0.075729547,0.6342647,1,563,23,5,1,1,5,1.114691578,0,0,UCEC
741,MEFV,0.2,0.175987533,1.13644414,0.024648768,0.075729547,0.9570725,1,781,59,5,4,1,5,1.13644414,0,0,UCEC
742,MPI,0.2,0.172179109,1.161581105,0.0499975,0.075729547,0.7989752,1,423,17,5,3,1,4,1.161581105,0,0,UCEC
743,MTHFR,0.222222222,0.13786393,1.611895308,0.011549423,0.04619769,0.4086501,1,656,30,7,1,1,8,1.611895308,0,0,UCEC
744,MYBPC3,0.076923077,0.075362589,1.020706406,0.041497925,0.075729547,0.5258466,1,1274,33,13,1,1,11,1.020706406,0,0,UCEC
745,MYH3,0.033333333,0.033987557,0.980751078,0.054547273,0.075729547,0.9638169,1,1940,103,27,1,1,16,0.980751078,0,0,UCEC
746,NF1,0.026315789,0.025900843,1.01602057,0.04719764,0.075729547,0.5541952,1,2839,234,33,4,1,20,1.01602057,0,0,UCEC
747,NSD1,0.027777778,0.027048256,1.026971122,0.05419729,0.075729547,0.4824187,1,2696,145,36,2,1,24,1.026971122,0,0,UCEC
