gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ANP32E	1207965	197	39	81480	18240	0	1	0	0	50	3	2326800	2.718333e-01	1
PGAP3	1284992	226	38	91840	27320	0	1	0	0	50	5	2359960	2.722614e-01	1
PLD6	910162	218	11	68800	23000	0	1	0	0	50	7	2443160	2.726153e-01	1
CABP5	993450	433	26	51880	13160	0	1	0	0	50	15	2785080	2.733062e-01	1
ESRP2	910198	281	30	199520	65680	0	1	2	0	50	8	2158200	2.734610e-01	1
VSIG2	168652	622	14	91720	29720	0	1	0	0	50	3	2219000	2.736379e-01	1
AQP1	402058	568	10	98120	31600	0	1	0	0	50	2	2029920	2.737987e-01	1
OCRL	330789	NaN	22	268840	66920	0	2	0	0	50	4	2774320	2.738950e-01	1
MAP3K15	222229	NaN	38	382320	104160	0	3	0	0	20	1	1034200	2.739441e-01	1
B3GALNT1	340975	583	-20	95320	24680	0	1	0	0	50	5	2579600	2.740307e-01	1
DDHD1	306643	448	20	260720	72400	0	3	0	0	50	7	2759000	2.741603e-01	1
RASSF2	467742	485	32	96080	26440	0	1	0	0	50	3	2270240	2.743589e-01	1
LRFN1	1793696	252	31	203160	75240	0	2	1	0	50	7	2569320	2.743902e-01	1
PIWIL4	367057	478	6	250480	65720	0	2	1	0	50	12	2156880	2.745592e-01	1
EIF5A	1911735	206	36	54560	14680	0	1	0	0	50	12	2480000	2.751246e-01	1
USP18	521791	289	11	111080	27520	0	1	0	0	50	6	2972960	2.753201e-01	1
KY	221323	459	13	192920	50440	0	2	0	0	50	6	2282360	2.754326e-01	1
SLC26A4	515284	579	37	225680	65080	0	1	0	0	50	7	2639600	2.758553e-01	1
CREBZF	325720	554	-19	95480	32320	0	1	0	0	50	4	2778200	2.762506e-01	1
HLA-DPB1	1479000	431	28	74320	21560	0	1	0	0	50	4	2011560	2.763610e-01	1
NOTCH1	1489379	212	43	729680	206320	0	7	2	0	23	3	1214960	2.768563e-01	1
GXYLT1	172471	684	-9	128400	33720	0	1	0	0	50	5	3331880	2.769747e-01	1
DNAJC8	779314	213	33	77840	17680	0	1	0	0	50	4	2063280	2.773986e-01	1
RAD54L	690472	205	31	217520	60400	0	2	0	0	50	3	1979480	2.774322e-01	1
BCL9	NaN	NaN	NaN	393560	123040	0	3	0	0	50	11	4577600	2.777769e-01	1
B3GALTL	183118	606	27	148960	37400	0	2	0	0	50	5	2350440	2.779785e-01	1
PTPRN2	248205	792	-33	288840	87480	0	3	1	0	50	7	2650800	2.780834e-01	1
QTRTD1	426794	504	26	120080	33520	0	1	0	0	50	6	3161160	2.783465e-01	1
FAHD2A	255441	536	19	90200	26560	0	1	0	0	50	3	2105840	2.783818e-01	1
VIT	577288	323	-8	211720	60080	0	2	0	0	50	5	2328400	2.787094e-01	1
F2R	257923	372	46	118160	35680	0	1	0	0	50	2	2280800	2.787656e-01	1
EDC3	635020	206	51	145000	41120	0	2	0	0	50	10	2254720	2.788342e-01	1
RNF151	1747301	183	46	69520	20960	0	1	0	0	50	7	2150280	2.791971e-01	1
ARMC4	125789	454	-4	302720	82600	0	1	0	0	50	3	2562720	2.792723e-01	1
TAAR6	178165	618	22	96280	28040	0	1	0	0	50	3	2202440	2.793705e-01	1
OIT3	635147	291	38	156320	44080	0	2	0	0	50	8	2161520	2.794003e-01	1
XPNPEP1	248752	644	-31	197360	52360	0	2	1	0	50	8	2781840	2.795211e-01	1
OAS2	605960	433	54	216200	57640	0	2	0	0	50	8	2752960	2.796092e-01	1
HSPA9	1188562	205	52	197120	55360	0	1	0	0	27	2	1502440	2.796396e-01	1
GTF2IRD1	896611	194	52	278080	80000	0	1	0	0	50	2	2148560	2.796702e-01	1
GLG1	499497	209	36	355200	91200	0	3	0	0	50	11	2139520	2.799104e-01	1
FAM46B	929681	336	34	114000	39840	0	1	0	0	50	3	2626760	2.800640e-01	1
EBAG9	134329	623	8	64080	15840	0	1	0	0	50	8	2283400	2.802413e-01	1
HHIP	143634	1116	-6	203680	54440	0	1	0	0	50	6	2222680	2.803806e-01	1
XDH	99156	725	18	388000	109280	0	1	0	0	50	0	2260520	2.805992e-01	1
DNAI2	341939	427	-2	178760	46000	0	2	0	0	50	7	2366880	2.807627e-01	1
CTSK	1818753	188	35	96880	25160	0	1	0	0	50	5	2626520	2.808021e-01	1
CDK5RAP3	1183803	203	21	148160	40840	0	2	1	0	50	11	2401440	2.808051e-01	1
YLPM1	878419	232	43	607880	174640	0	3	0	0	50	4	2740040	2.810248e-01	1
KIF3B	920221	146	58	214360	58760	0	3	0	0	30	4	1372080	2.812057e-01	1
KTI12	NaN	NaN	NaN	95360	32680	0	1	0	0	50	11	4487240	2.812599e-01	1
GNAI2	846254	199	44	106360	26720	0	1	0	0	50	3	2317160	2.815764e-01	1
PKP2	292831	381	-18	250960	72800	0	3	0	0	50	7	2215840	2.818760e-01	1
SEZ6L2	NaN	NaN	NaN	257960	82840	0	2	1	0	50	12	4537400	2.819605e-01	1
SLC26A6	1386275	212	37	220080	67680	0	1	1	0	26	3	1822520	2.819777e-01	1
PCDHGA10	NaN	NaN	NaN	268280	84160	0	4	1	0	50	12	4538720	2.820512e-01	1
KCNAB1	502198	782	4	167560	46160	0	2	1	0	50	12	2933760	2.821588e-01	1
FAM181A	242993	645	15	97240	31040	0	1	0	0	50	10	3454480	2.822284e-01	1
SCO1	59713	749	-45	86520	24840	0	1	0	0	50	10	3066760	2.822587e-01	1
CDK3	1639614	194	22	87960	25560	0	1	0	0	50	6	2783120	2.826657e-01	1
RNF115	638533	230	36	89880	23760	0	1	0	0	50	6	2467520	2.827103e-01	1
TNFRSF10C	648331	237	48	73880	21640	0	1	1	0	50	10	2579880	2.827357e-01	1
CDC5L	958127	443	34	235080	61200	0	1	0	0	49	5	2089480	2.828548e-01	1
OR2D3	403341	827	6	91480	27560	0	1	0	0	50	5	2446040	2.831282e-01	1
ANGPTL7	NaN	NaN	NaN	101120	25720	0	1	0	0	50	11	4480280	2.834744e-01	1
NOX3	108543	628	13	166240	44960	0	2	1	0	46	6	1927800	2.835864e-01	1
HIST2H2BF	462959	519	19	75640	22880	0	1	0	0	50	12	2544960	2.836742e-01	1
DDX3X	627364	NaN	54	196320	50040	0	2	0	0	50	6	2367640	2.837034e-01	1
GNAT1	846254	199	44	103640	26440	0	1	0	0	50	3	2317160	2.838203e-01	1
PLK4	230666	331	9	283000	73760	0	1	0	0	50	2	2150400	2.840223e-01	1
PROSC	651180	379	15	80880	22080	0	1	0	0	50	6	2361320	2.843211e-01	1
HESX1	454806	389	37	54640	13760	0	1	0	0	50	9	2400960	2.845318e-01	1
CCPG1	267069	396	11	223280	52960	0	2	0	0	50	6	2735240	2.845976e-01	1
THAP11	1039476	143	49	86120	27280	0	1	0	0	50	5	2275160	2.846028e-01	1
GNB3	2822601	232	32	99680	27400	0	1	0	0	50	3	2321600	2.847337e-01	1
CCR9	222879	519	54	105720	28440	0	1	0	0	50	2	1996360	2.847800e-01	1
SLIT3	401911	706	20	443000	122440	0	2	1	0	50	7	3219720	2.849208e-01	1
ZNF679	NaN	NaN	NaN	121360	29120	0	1	0	0	50	11	4483680	2.850228e-01	1
DNAJC14	1909014	256	38	197600	58360	0	2	0	0	50	9	2616680	2.850451e-01	1
ZFAND6	188862	557	38	62000	15640	0	1	0	0	50	6	2017240	2.850648e-01	1
TGM4	466410	380	31	200080	53000	0	2	0	0	50	5	2098800	2.851476e-01	1
CTDSPL2	697417	534	37	137360	36520	0	1	0	0	50	3	3096480	2.852504e-01	1
PDCD2L	689668	292	2	103960	28640	0	1	0	0	50	6	3299640	2.853450e-01	1
SH3YL1	304765	624	-18	100200	27960	0	1	0	0	50	2	1993360	2.855984e-01	1
DNAJB7	NaN	NaN	NaN	89360	22240	0	1	0	0	50	11	4476800	2.856215e-01	1
ADAM30	390094	560	9	224080	60680	0	2	0	0	50	5	2289040	2.860228e-01	1
C11orf57	389805	179	31	88040	20200	0	1	0	0	50	9	2536880	2.861003e-01	1
PSKH2	191789	1214	-25	108000	31680	0	1	0	0	50	4	2625680	2.864931e-01	1
HORMAD1	1611525	178	42	120560	28360	0	1	0	0	50	17	2330800	2.866881e-01	1
PIK3AP1	794261	622	28	233600	64240	0	1	0	0	50	9	3080240	2.867795e-01	1
AFF4	686574	200	66	338280	90360	0	2	0	0	50	3	1802120	2.868415e-01	1
MMP16	27285	939	-34	191600	50080	0	1	0	0	50	8	2352360	2.869622e-01	1
F11R	777836	441	19	87440	24880	0	1	0	0	50	5	2479360	2.870003e-01	1
