gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ITFG1	489472	809	-5	181320	47760	0	0	0	0	11	0	349240	1	1
ITFG2	495532	443	28	129800	36760	0	0	0	0	50	8	2444520	1	1
ITFG3	1304158	199	40	156840	47520	0	0	0	0	50	5	2625160	1	1
ITGA1	173759	379	9	345800	92680	0	0	1	0	4	2	197840	1	1
ITGA10	NaN	NaN	NaN	332480	102160	0	0	1	0	50	12	4556720	1	1
ITGA11	370132	531	41	346760	95440	0	0	0	0	15	2	747200	1	1
ITGA2	193331	354	4	346960	92480	0	0	0	0	10	3	451040	1	1
ITGA3	1197823	210	20	315800	93880	0	0	0	0	50	11	2659800	1	1
ITGA5	653663	190	42	302280	89880	0	0	0	0	50	10	2321840	1	1
ITGA6	381919	371	23	329840	88480	0	0	0	0	50	0	2377480	1	1
ITGA9	477042	601	18	302520	83640	0	0	0	0	50	7	2189680	1	1
ITGAD	839076	558	11	335800	96680	0	0	0	0	19	4	1453040	1	1
ITGB1	390742	205	-15	260920	62240	0	0	0	0	50	8	2201520	1	1
ITGB1BP1	624421	340	37	59880	15360	0	0	0	0	50	3	2556720	1	1
ITGB1BP2	728362	NaN	26	103520	26800	0	0	0	0	50	18	3230480	1	1
ITGB1BP3	2173603	207	30	67800	18240	0	0	0	0	50	8	2381400	1	1
ITGB2	746455	191	74	222480	61920	0	0	0	0	50	4	2210360	1	1
ITGB3BP	130856	477	5	55880	12160	0	0	0	0	50	8	1804920	1	1
ITGB5	330119	254	40	231600	63120	0	0	0	0	9	0	384160	1	1
ITGB6	227667	212	2	230400	60840	0	0	0	0	50	13	2162160	1	1
ITGB7	1703142	191	52	227080	67280	0	0	0	0	50	6	2043520	1	1
ITGB8	207764	550	30	226000	57440	0	0	0	0	50	8	2352400	1	1
ITIH1	1193949	272	49	265280	73360	0	0	2	0	50	6	2529480	1	1
ITIH2	199302	528	-8	276920	73600	0	0	1	0	50	3	2632920	1	1
ITIH3	1193949	272	49	261800	69280	0	0	0	0	50	6	2529480	1	1
ITIH4	1193949	272	49	269640	76800	0	0	0	0	50	6	2529480	1	1
ITIH5L	257678	NaN	19	361760	117280	0	0	0	0	50	4	2270480	1	1
ITLN1	1048810	583	27	92600	23800	0	0	0	0	50	7	1946240	1	1
ITLN2	777836	441	19	96160	24800	0	0	0	0	50	5	2479360	1	1
ITM2A	13949	NaN	29	76320	21120	0	0	1	0	3	3	151480	1	1
ITM2B	340844	457	36	78400	20120	0	0	0	0	50	3	2230440	1	1
ITM2C	1020678	519	45	76400	22480	0	0	0	0	50	9	3061120	1	1
ITPA	997984	255	52	58040	15520	0	0	0	0	50	1	2132680	1	1
ITPK1	326946	326	35	124880	34840	0	0	0	0	50	3	2147000	1	1
ITPKA	820644	237	37	128120	41320	0	0	0	0	50	8	2031040	1	1
ITPKB	508274	407	19	262680	81120	0	0	0	0	50	2	2229160	1	1
ITPKC	1127178	201	27	192360	57000	0	0	0	0	50	5	2208120	1	1
ITPR1	290645	395	19	809840	212200	0	0	0	0	6	0	567880	1	1
ITPR3	1401905	205	38	777120	212160	0	0	0	0	0	0	212160	1	1
ITPRIP	293891	376	8	151600	46160	0	0	0	0	50	4	2304920	1	1
ITPRIPL1	904852	213	43	158840	46360	0	0	0	0	14	2	771680	1	1
ITPRIPL2	799976	275	20	140480	52480	0	0	0	0	36	5	1478160	1	1
IVD	880617	184	45	124120	34880	0	0	0	0	50	4	2353920	1	1
IVL	59999	804	12	168520	42920	0	0	0	0	25	2	1202520	1	1
IVNS1ABP	325191	535	-10	189920	47800	0	0	0	0	50	4	2387960	1	1
IYD	286182	334	29	103440	23880	0	0	0	0	50	6	2183200	1	1
JAGN1	950574	170	54	52040	14680	0	0	0	0	50	5	2264560	1	1
JAK1	269434	396	-5	342080	85240	0	0	1	0	50	3	2298760	1	1
JAK3	1216364	212	37	319200	96840	0	0	0	0	50	5	1975880	1	1
JAKMIP1	366026	678	41	250200	67440	0	0	0	0	9	0	386840	1	1
JAM2	534549	723	26	87880	24080	0	0	1	0	31	6	1430320	1	1
JAM3	270247	601	6	102240	30000	0	0	0	0	50	3	2350200	1	1
JARID2	86503	782	34	355560	101520	0	0	1	0	50	13	2565280	1	1
JAZF1	292385	474	14	70560	19200	0	0	0	0	50	5	2048200	1	1
JDP2	758517	239	44	49480	14960	0	0	0	0	50	4	2504880	1	1
JMJD4	595623	459	1	138800	41680	0	0	0	0	50	8	1900880	1	1
JMJD5	227767	448	27	130200	36960	0	0	0	0	50	8	1812440	1	1
JMJD7	NaN	NaN	NaN	91760	25960	0	0	0	0	50	11	4480520	1	1
JMJD7-PLA2G4B	874211	259	40	291240	85200	0	0	0	0	50	5	2746480	1	1
JMJD8	1207790	194	33	81600	25680	0	0	0	0	50	3	2529080	1	1
JMY	166218	588	35	279520	81320	0	0	0	0	50	6	1924400	1	1
JOSD1	1056349	262	45	59080	15440	0	0	0	0	50	6	2730960	1	1
JOSD2	762018	517	35	52000	17960	0	0	0	0	50	5	2573320	1	1
JPH3	594064	251	23	207240	64320	0	0	0	0	50	3	2349240	1	1
JPH4	1250373	553	35	169920	58440	0	0	0	0	50	11	2857640	1	1
JRK	384374	412	23	164880	51000	0	0	0	0	50	3	2627800	1	1
JSRP1	1603571	240	27	92760	29880	0	0	0	0	50	8	2464320	1	1
JTB	2028800	222	34	43280	11560	0	0	0	0	50	12	2054240	1	1
JUB	1240941	185	38	150040	47360	0	0	0	0	50	5	2464960	1	1
JUN	300720	419	5	90920	28600	0	0	0	0	50	10	2398360	1	1
JUNB	1937827	226	32	92480	32800	0	0	1	0	50	19	2369880	1	1
JUND	1178047	210	43	92120	33160	0	0	0	0	50	10	2505040	1	1
KAAG1	390563	612	-3	35000	7840	0	0	0	0	50	8	2286960	1	1
KANK1	136434	548	16	382600	109760	0	0	1	0	50	3	1983160	1	1
KANK2	1749900	233	33	236840	78040	0	0	0	0	50	3	2439800	1	1
KANK3	752886	204	7	223160	77560	0	0	0	0	50	8	2543480	1	1
KARS	449343	354	18	190400	49840	0	0	0	0	50	4	2396680	1	1
KAT2A	2171374	206	37	240600	69480	0	0	1	0	44	2	1885640	1	1
KAT2B	102581	583	4	241960	66080	0	0	0	0	50	11	2637960	1	1
KAT5	4131934	202	53	157240	45440	0	0	0	0	50	4	2329840	1	1
KATNA1	437046	210	41	143920	37760	0	0	0	0	50	5	1846520	1	1
KATNAL1	288583	374	48	143600	37960	0	0	0	0	50	2	2317800	1	1
KATNAL2	120136	561	12	138160	36680	0	0	0	0	50	6	2544960	1	1
KATNB1	712945	168	34	189480	55320	0	0	1	0	50	7	2399160	1	1
KAZ	163077	802	9	243720	72600	0	0	0	0	50	9	2167600	1	1
KAZALD1	469702	221	52	84560	27160	0	0	0	0	50	4	2212560	1	1
KBTBD10	370890	418	22	173440	47720	0	0	0	0	50	5	2832640	1	1
KBTBD11	NaN	NaN	NaN	164400	60240	0	0	0	0	50	11	4514800	1	1
KBTBD12	727461	390	49	180040	46760	0	0	1	0	50	9	2334720	1	1
KBTBD13	688371	189	44	121920	43320	0	0	0	0	50	13	2639280	1	1
KBTBD2	373657	264	15	177640	47960	0	0	0	0	50	3	2260840	1	1
KBTBD3	86519	753	-16	176720	44920	0	0	1	0	50	10	2639040	1	1
KBTBD4	995645	214	31	151040	43720	0	0	0	0	50	11	2332520	1	1
KBTBD5	369022	329	34	174040	52520	0	0	0	0	50	3	2252600	1	1
KBTBD6	314264	337	66	188200	54800	0	0	0	0	50	4	2552360	1	1
KBTBD7	314264	337	66	191240	55360	0	0	0	0	50	4	2552360	1	1
KBTBD8	99545	940	13	173560	44840	0	0	0	0	50	7	2603120	1	1
KCMF1	926772	202	23	109560	30840	0	0	0	0	50	10	1980840	1	1
KCNA10	435777	589	29	142760	41800	0	0	0	0	50	6	2684840	1	1
KCNA2	479017	640	21	140280	39720	0	0	0	0	50	3	2109720	1	1
KCNA3	318208	730	22	157080	50280	0	0	0	0	50	7	3356160	1	1
KCNA5	160467	896	22	165720	55320	0	0	0	0	50	7	2620200	1	1
KCNA6	277089	903	16	144160	46640	0	0	0	0	50	8	2244320	1	1
KCNA7	2070141	200	35	122200	42800	0	0	1	0	50	12	2038520	1	1
KCNAB2	593369	271	22	109880	29800	0	0	0	0	50	3	2217640	1	1
KCNAB3	1794630	337	33	117640	34400	0	0	0	0	50	4	2209680	1	1
KCNC1	499802	582	19	166200	50040	0	0	2	0	11	2	408800	1	1
KCNC2	175202	822	-31	183240	57120	0	0	0	0	50	6	2401840	1	1
KCNC3	1072052	528	26	205720	69080	0	0	0	0	50	10	2108720	1	1
KCND1	834590	NaN	41	178760	56920	0	0	0	0	50	6	2439680	1	1
KCNE1	381338	502	16	36440	10840	0	0	0	0	50	5	3091760	1	1
KCNE1L	203975	NaN	36	38280	13200	0	0	0	0	50	6	1720880	1	1
KCNE2	410767	518	61	36040	9080	0	0	0	0	50	6	1537400	1	1
KCNE4	279069	585	3	47680	14360	0	0	0	0	50	6	2525360	1	1
KCNF1	668276	514	23	136840	41360	0	0	1	0	50	14	2517800	1	1
KCNG2	323907	509	-22	123040	45440	0	0	0	0	50	4	2617920	1	1
KCNG3	254123	368	24	120600	37200	0	0	0	0	50	4	2496000	1	1
KCNG4	582429	364	12	143160	44760	0	0	0	0	50	9	2662200	1	1
KCNH4	2129732	206	30	282560	91120	0	0	0	0	46	7	2317360	1	1
KCNH5	68312	704	-32	287280	77640	0	0	0	0	26	6	1215400	1	1
KCNH7	70298	965	-6	350800	95240	0	0	1	0	50	7	2054640	1	1
KCNH8	25033	1018	-14	318440	87640	0	0	0	0	2	0	256880	1	1
KCNIP2	865397	335	45	99880	26360	0	0	0	0	50	6	3017800	1	1
KCNIP3	246871	498	14	87000	21960	0	0	0	0	50	5	2040360	1	1
KCNIP4	35439	1264	3	88440	21120	0	0	0	0	50	11	2211360	1	1
KCNJ1	194422	602	1	111000	30840	0	0	0	0	50	8	2279160	1	1
KCNJ10	829863	386	17	104120	32920	0	0	1	0	50	5	2401320	1	1
KCNJ12	405028	480	-60	120840	35880	0	0	1	0	10	5	278960	1	1
KCNJ13	325071	328	33	103720	27200	0	0	0	0	50	5	2148040	1	1
KCNJ15	109140	246	56	105600	30240	0	0	0	0	50	8	2412400	1	1
KCNJ2	31424	614	-44	120640	33440	0	0	0	0	50	6	2625200	1	1
KCNJ3	15788	1135	7	141440	40240	0	0	0	0	50	12	2503080	1	1
KCNJ5	194422	602	1	118560	33600	0	0	0	0	50	8	2279160	1	1
KCNJ6	253563	541	36	120680	33400	0	0	0	0	50	9	1930480	1	1
KCNJ9	829863	386	17	108200	34120	0	0	0	0	50	5	2401320	1	1
KCNK1	135142	419	12	94040	28240	0	0	0	0	50	5	2322680	1	1
KCNK12	791803	516	25	114760	40880	0	0	0	0	50	9	2807160	1	1
KCNK13	300869	604	12	113360	34360	0	0	0	0	50	11	2313720	1	1
KCNK15	890596	168	46	88200	31680	0	0	0	0	21	2	1170880	1	1
KCNK17	190767	749	31	105760	32120	0	0	0	0	50	7	2319920	1	1
KCNK18	202100	640	4	108920	30520	0	0	0	0	50	7	2194920	1	1
KCNK2	363438	818	-28	125280	36360	0	0	0	0	50	4	2031520	1	1
KCNK3	1198614	300	41	107640	35040	0	0	0	0	50	8	3192640	1	1
KCNK4	1613996	257	65	107440	37280	0	0	0	0	50	4	2396000	1	1
KCNK5	181911	634	29	140080	41840	0	0	0	0	50	6	2378000	1	1
KCNK6	1467279	253	-0	83360	30640	0	0	0	0	50	1	2245800	1	1
KCNK7	3945819	202	45	90840	33120	0	0	0	0	50	4	2329840	1	1
KCNK9	62115	562	5	105280	30680	0	0	1	0	14	4	676520	1	1
KCNMB1	55692	614	41	54520	16040	0	0	1	0	9	4	409520	1	1
KCNMB2	144490	882	-8	68600	18280	0	0	0	0	50	9	3410040	1	1
KCNMB3	412428	641	14	99240	26400	0	0	0	0	50	7	2641440	1	1
KCNMB4	148192	547	-7	60280	16640	0	0	0	0	50	4	2219320	1	1
KCNN1	1328847	217	35	152160	48000	0	0	0	0	50	5	2296280	1	1
KCNN2	7106	987	0	164400	47760	0	0	0	0	50	14	1955200	1	1
KCNN3	1958370	559	34	208200	61080	0	0	1	0	50	11	2108240	1	1
KCNN4	452493	192	-2	119160	38760	0	0	0	0	50	9	2318240	1	1
KCNQ1	812471	589	39	192000	59760	0	0	0	0	50	8	2324160	1	1
KCNQ3	163210	970	-6	246640	74360	0	0	1	0	50	9	2189880	1	1
KCNQ4	428440	188	32	195440	61600	0	0	1	0	50	8	1966760	1	1
KCNRG	337743	357	44	86440	24560	0	0	0	0	14	0	461280	1	1
KCNS1	865186	324	46	143320	47840	0	0	0	0	50	8	3095800	1	1
KCNS2	440962	550	28	133440	39120	0	0	0	0	50	6	2344840	1	1
KCNS3	143212	1197	6	139160	38440	0	0	1	0	50	13	2145360	1	1
KCNT1	404991	494	38	357360	102240	0	0	0	0	50	4	2019440	1	1
KCNU1	7048	474	-36	335800	90920	0	0	1	0	50	10	2242400	1	1
KCNV1	102383	890	-18	139160	42160	0	0	0	0	50	11	2665120	1	1
KCNV2	158557	682	-5	151520	45760	0	0	0	0	50	5	2437520	1	1
KCP	NaN	NaN	NaN	470200	135200	0	0	0	0	50	11	4589760	1	1
KCTD1	173654	429	31	241040	72640	0	0	0	0	50	6	2699320	1	1
KCTD10	434920	420	38	90800	25360	0	0	0	0	50	3	2478960	1	1
KCTD11	1911735	206	36	61760	22120	0	0	0	0	50	12	2480000	1	1
KCTD12	202176	734	11	87480	29880	0	0	1	0	1	1	49480	1	1
KCTD14	556958	209	38	72040	20840	0	0	0	0	50	11	2199920	1	1
KCTD15	680604	598	-26	81200	25120	0	0	0	0	36	7	1532640	1	1
KCTD16	38690	643	-2	121400	33520	0	0	1	0	50	10	2292560	1	1
KCTD17	699535	379	44	86520	24240	0	0	0	0	50	3	2988400	1	1
KCTD19	1201743	142	56	266200	75440	0	0	0	0	50	5	2812520	1	1
KCTD20	994811	148	35	122760	31800	0	0	0	0	50	5	2717400	1	1
KCTD21	551110	208	23	73520	20920	0	0	0	0	50	1	2644640	1	1
KCTD3	82180	597	-30	236280	65640	0	0	1	0	50	13	2212640	1	1
KCTD4	613630	276	60	73480	20120	0	0	0	0	50	2	2170240	1	1
KCTD5	1803069	200	47	67960	19280	0	0	0	0	50	8	2171000	1	1
KCTD6	567081	265	35	68000	18640	0	0	0	0	50	7	2458720	1	1
KCTD8	73476	1109	-10	131560	39560	0	0	0	0	50	10	3028680	1	1
KCTD9	178615	515	22	114800	30880	0	0	0	0	50	6	2388760	1	1
KDELC1	195534	475	24	148000	37400	0	0	0	0	50	7	1906680	1	1
KDELC2	383210	579	11	146560	39920	0	0	0	0	50	1	2027920	1	1
KDELR3	1466610	215	23	67400	18760	0	0	0	0	50	7	1790560	1	1
KDM1A	715760	153	29	252880	72440	0	0	0	0	39	3	1969520	1	1
KDM1B	477756	397	1	174160	46280	0	0	0	0	50	7	2252560	1	1
KDM2B	650760	244	46	393040	109040	0	0	0	0	50	8	2534280	1	1
KDM4D	304973	513	-12	145480	43160	0	0	1	0	45	3	2005240	1	1
KDM4DL	NaN	NaN	NaN	141760	40760	0	0	0	0	50	11	4495320	1	1
KDM5C	877207	NaN	80	451360	134120	0	0	1	0	50	10	2543640	1	1
KDM5D	0	0	0	451360	127160	0	0	0	0	12	0	519000	1	1
KDM6B	2148615	337	24	461200	154280	0	0	2	0	50	11	3145600	1	1
KDR	175189	706	3	397000	105440	0	0	0	0	12	2	693200	1	1
KDSR	201946	278	77	96600	27600	0	0	0	0	50	4	2451880	1	1
KEAP1	1996822	207	30	176400	51000	0	0	0	0	50	11	2145480	1	1
KEL	294033	676	2	212840	59680	0	0	0	0	50	4	1955440	1	1
KERA	21995	523	-17	100720	27320	0	0	0	0	50	9	2390960	1	1
KHDC1	742452	565	13	47760	13080	0	0	0	0	21	3	1066840	1	1
KHDC1L	NaN	NaN	NaN	37480	10160	0	0	0	0	50	11	4464720	1	1
KHDRBS1	1216050	133	33	124880	38800	0	0	0	0	50	7	2580280	1	1
KHDRBS2	1561	1153	-32	101560	28280	0	0	0	0	50	12	2317800	1	1
KHDRBS3	16039	1124	-24	100800	27960	0	0	0	0	50	13	2566760	1	1
KHK	1214097	238	50	104840	30160	0	0	0	0	41	6	2128200	1	1
KHNYN	897668	265	29	189320	58480	0	0	0	0	50	9	2062520	1	1
KHSRP	865106	219	33	204680	60760	0	0	0	0	50	30	2354400	1	1
KIAA0040	NaN	NaN	NaN	28680	7320	0	0	0	0	50	11	4461880	1	1
KIAA0090	788190	448	30	285520	83360	0	0	0	0	16	2	660920	1	1
KIAA0101	766091	263	33	36080	8680	0	0	0	0	50	0	2305680	1	1
KIAA0141	696239	321	48	147080	44320	0	0	0	0	50	9	2158880	1	1
KIAA0146	918018	606	6	263600	75520	0	0	0	0	7	0	194040	1	1
KIAA0174	471197	218	31	103960	30320	0	0	0	0	50	6	2002160	1	1
KIAA0182	422186	213	37	340120	105800	0	0	0	0	6	2	465920	1	1
KIAA0195	1928925	195	19	388440	114480	0	0	0	0	3	0	241960	1	1
KIAA0226	560122	252	50	286680	78600	0	0	0	0	28	8	1195440	1	1
KIAA0240	1023102	187	38	305880	88200	0	0	0	0	18	0	924440	1	1
KIAA0247	600813	299	44	85240	26600	0	0	0	0	50	7	2491760	1	1
KIAA0284	855494	247	41	429520	138920	0	0	0	0	50	4	3045560	1	1
KIAA0317	900799	207	42	239880	65400	0	0	0	0	19	2	982640	1	1
KIAA0319	417813	373	19	311160	88320	0	0	1	0	50	3	2422760	1	1
KIAA0319L	956500	451	27	303960	83640	0	0	0	0	15	2	1451160	1	1
KIAA0355	662469	216	-1	303040	88280	0	0	1	0	50	7	2250160	1	1
KIAA0391	586870	321	38	168520	44600	0	0	0	0	50	5	2423880	1	1
KIAA0406	599934	303	49	305720	90040	0	0	0	0	11	3	413040	1	1
KIAA0408	151114	811	-10	201760	50360	0	0	0	0	9	3	440640	1	1
KIAA0415	479282	523	22	224960	73840	0	0	0	0	50	10	3006360	1	1
KIAA0427	99954	406	51	173440	48200	0	0	0	0	50	6	2279760	1	1
KIAA0467	1066191	239	31	716840	221800	0	0	0	0	15	1	935840	1	1
KIAA0494	615653	417	20	145000	38360	0	0	0	0	50	3	2565200	1	1
KIAA0495	249153	341	24	54800	18400	0	0	0	0	50	5	2401280	1	1
KIAA0513	517155	273	32	122320	31280	0	0	0	0	50	10	2132960	1	1
KIAA0528	213736	811	-9	293080	78800	0	0	0	0	9	0	497400	1	1
KIAA0562	249714	412	32	271240	72200	0	0	0	0	50	3	2487280	1	1
KIAA0564	259442	557	50	554920	152840	0	0	0	0	10	0	458440	1	1
KIAA0586	290827	454	33	429360	114840	0	0	0	0	50	8	2512880	1	1
KIAA0649	298554	539	14	331360	104720	0	0	0	0	7	1	354360	1	1
KIAA0652	914919	176	39	151280	42880	0	0	0	0	50	5	2463280	1	1
KIAA0664	561252	218	18	374800	108800	0	0	0	0	50	5	2141040	1	1
KIAA0748	246749	748	11	152600	40000	0	0	0	0	50	6	2485200	1	1
KIAA0753	462930	285	10	281520	75600	0	0	0	0	50	5	2896240	1	1
KIAA0776	105478	1376	-1	234480	60600	0	0	0	0	50	8	2227560	1	1
KIAA0802	276661	394	22	447320	131200	0	0	0	0	50	4	2405880	1	1
KIAA0831	739675	256	39	143560	38480	0	0	0	0	50	8	3255400	1	1
KIAA0892	920442	232	2	179720	50200	0	0	0	0	50	2	1887600	1	1
KIAA0895L	1109491	150	46	131240	41560	0	0	0	0	50	5	2143280	1	1
KIAA0907	1988461	174	32	175560	52320	0	0	0	0	23	5	1029960	1	1
KIAA0913	1009357	191	42	514240	161480	0	0	0	0	18	4	1210960	1	1
KIAA1012	416975	489	28	419720	110680	0	0	0	0	50	4	2483360	1	1
KIAA1107	NaN	NaN	NaN	389040	102600	0	0	0	0	50	11	4557160	1	1
KIAA1143	433853	426	27	45600	11400	0	0	0	0	50	6	2503640	1	1
KIAA1147	213663	781	17	131120	36880	0	0	0	0	50	3	1980280	1	1
KIAA1161	478815	302	38	194400	63480	0	0	0	0	50	3	1951400	1	1
KIAA1191	549164	427	28	88120	25400	0	0	0	0	50	7	2448200	1	1
KIAA1210	556208	NaN	8	485000	136840	0	0	1	0	50	15	2352880	1	1
KIAA1217	136799	839	-15	552840	156600	0	0	0	0	50	5	2723440	1	1
KIAA1239	NaN	NaN	NaN	492440	137920	0	0	0	0	50	11	4592480	1	1
KIAA1257	1149132	379	52	120640	30320	0	0	0	0	31	2	1374000	1	1
KIAA1267	388537	357	21	310640	94000	0	0	0	0	13	1	616960	1	1
KIAA1274	549709	487	39	245960	71680	0	0	0	0	50	4	2619680	1	1
KIAA1279	860888	246	52	178720	48080	0	0	1	0	50	4	2077640	1	1
KIAA1310	889428	234	44	248520	78000	0	0	0	0	50	3	3006240	1	1
KIAA1324L	154470	1087	-7	302880	78000	0	0	0	0	50	7	2422880	1	1
KIAA1328	99312	893	-1	168280	44360	0	0	0	0	50	8	2516000	1	1
KIAA1370	421095	345	21	311560	81800	0	0	0	0	50	4	2215760	1	1
KIAA1377	418167	411	-19	323000	84280	0	0	0	0	0	0	84280	1	1
KIAA1383	134159	644	-2	292200	85080	0	0	0	0	50	4	2253000	1	1
KIAA1409	321756	678	21	715720	192080	0	0	0	0	24	3	1424360	1	1
KIAA1429	534075	405	36	525640	144560	0	0	0	0	33	2	1649160	1	1
KIAA1430	316425	530	37	152880	40920	0	0	0	0	50	6	1924560	1	1
KIAA1462	184440	520	12	379360	111680	0	0	1	0	30	4	1737200	1	1
KIAA1467	697100	196	7	176000	54280	0	0	0	0	50	9	2397520	1	1
KIAA1468	133045	374	40	353360	98200	0	0	0	0	50	7	2205680	1	1
KIAA1486	17102	517	-4	181400	56440	0	0	0	0	50	6	2668200	1	1
KIAA1522	1339617	195	26	290760	106560	0	0	0	0	8	3	655760	1	1
KIAA1529	378658	528	34	488920	122240	0	0	0	0	43	3	1828280	1	1
KIAA1530	1018381	507	41	203800	58040	0	0	0	0	50	9	2747760	1	1
KIAA1539	1108514	411	41	146640	50760	0	0	0	0	50	3	1937320	1	1
KIAA1543	611341	384	33	351040	117560	0	0	0	0	50	2	2327040	1	1
KIAA1549	482191	289	18	537880	173840	0	0	0	0	40	4	1803880	1	1
KIAA1598	202512	533	-14	189800	45400	0	0	0	0	50	3	2156000	1	1
KIAA1609	584311	285	14	131520	36360	0	0	0	0	50	7	2514400	1	1
KIAA1614	232445	398	15	323920	108920	0	0	0	0	7	0	449160	1	1
KIAA1632	385282	380	41	746640	203040	0	0	0	0	2	0	262520	1	1
KIAA1644	218812	280	16	57880	16160	0	0	0	0	50	12	2067640	1	1
KIAA1671	NaN	NaN	NaN	501160	154400	0	0	0	0	50	11	4608960	1	1
KIAA1683	1178047	210	43	369880	124280	0	0	1	0	50	10	2505040	1	1
KIAA1704	685405	245	40	101200	25040	0	0	1	0	0	1	25040	1	1
KIAA1712	63527	647	11	127800	31680	0	0	0	0	50	10	2440720	1	1
KIAA1715	237188	967	11	125880	34320	0	0	0	0	50	7	2238600	1	1
KIAA1731	NaN	NaN	NaN	754640	196240	0	0	0	0	14	0	862920	1	1
KIAA1737	520205	235	60	111680	33760	0	0	0	0	50	1	2166560	1	1
KIAA1751	1343607	233	33	221960	60880	0	0	0	0	50	8	2242800	1	1
KIAA1755	499325	245	60	333080	105520	0	0	0	0	50	1	2174920	1	1
KIAA1797	125322	525	20	523520	145840	0	0	0	0	39	2	1789080	1	1
KIAA1804	146614	392	5	288400	89240	0	0	0	0	0	0	89240	1	1
KIAA1826	84555	890	-19	99680	25360	0	0	0	0	50	8	2459000	1	1
KIAA1841	631979	302	30	226120	54560	0	0	0	0	50	6	2477360	1	1
KIAA1919	364757	424	30	144920	43360	0	0	0	0	50	7	2773640	1	1
KIAA1949	2115149	171	41	167280	55200	0	0	0	0	50	9	2598520	1	1
KIAA1984	1910405	176	41	158680	40640	0	0	0	0	50	6	2605360	1	1
KIAA2013	519155	207	43	170120	59440	0	0	0	0	50	9	2101760	1	1
KIAA2026	349735	317	26	584240	176560	0	0	1	0	50	8	2456600	1	1
KIF13B	333305	417	42	528800	147880	0	0	0	0	3	1	312520	1	1
KIF18B	1037808	191	34	239360	75880	0	0	0	0	50	9	2008600	1	1
KIF19	362227	433	-8	282600	86160	0	0	0	0	50	3	2853520	1	1
KIF1A	1094176	446	29	491360	139480	0	0	0	0	29	4	1539080	1	1
KIF1B	712477	306	25	663440	174640	0	0	1	0	50	8	2968840	1	1
KIF1C	1399774	343	26	313320	94200	0	0	0	0	50	7	2361280	1	1
KIF20A	1127160	314	50	258280	71120	0	0	0	0	6	0	382040	1	1
KIF24	596029	186	43	388000	110600	0	0	0	0	50	8	2480320	1	1
KIF25	142012	702	-17	108560	34120	0	0	1	0	40	12	2628600	1	1
KIF2A	176808	575	33	221240	56560	0	0	0	0	50	6	2408320	1	1
KIF2B	930	1125	-86	188520	54120	0	0	0	0	8	2	123120	1	1
KIF3C	597475	166	40	224040	65160	0	0	0	0	50	4	2466240	1	1
KIF5C	87934	682	0	278400	69120	0	0	0	0	50	6	2312600	1	1
KIF6	77217	940	26	243280	60920	0	0	0	0	50	11	2375920	1	1
KIF9	816399	242	46	233240	61120	0	0	0	0	50	4	2391680	1	1
KIFAP3	181109	743	2	237720	56880	0	0	0	0	50	9	2644760	1	1
KIFC3	691782	148	29	238000	72440	0	0	0	0	13	1	718320	1	1
KILLIN	NaN	NaN	NaN	48080	16360	0	0	0	0	50	11	4470920	1	1
KIN	199265	447	4	119160	28680	0	0	0	0	50	7	2270400	1	1
KIR2DL3	1155455	625	-10	99200	27520	0	0	1	0	50	16	2696520	1	1
KIR2DL4	987531	620	-23	109280	30280	0	0	1	0	50	16	2726600	1	1
KIR2DS4	987531	620	-23	86520	24240	0	0	0	0	50	16	2726600	1	1
KIR3DL2	987531	620	-23	130240	38000	0	0	0	0	50	16	2726600	1	1
KIR3DL3	1155455	625	-10	117000	34560	0	0	0	0	50	16	2696520	1	1
KIR3DP1	1071493	620	-17	93560	27400	0	0	0	0	50	17	2699680	1	1
KIRREL3	311236	849	9	232320	68400	0	0	0	0	50	4	2103560	1	1
KISS1	557652	370	34	38080	12920	0	0	0	0	50	7	2475480	1	1
KISS1R	2292363	206	44	106480	39080	0	0	1	0	31	3	1380920	1	1
KIT	92734	649	0	286760	74800	0	0	0	0	46	6	2212400	1	1
KITLG	144795	419	-29	82920	20040	0	0	0	0	50	11	2590040	1	1
KL	209854	595	23	284640	82200	0	0	0	0	41	6	2122600	1	1
KLB	648710	177	43	294720	83640	0	0	0	0	50	12	2485120	1	1
KLC1	816643	204	41	189640	44960	0	0	0	0	50	7	2187960	1	1
KLC2	2133752	236	53	179520	52440	0	0	0	0	50	6	2750760	1	1
KLC3	1280459	215	23	142680	45120	0	0	0	0	50	7	2381200	1	1
KLF1	1937827	226	32	98080	33800	0	0	0	0	38	11	1908040	1	1
KLF11	922437	234	42	142200	44160	0	0	0	0	8	0	853680	1	1
KLF12	32882	755	41	114360	34080	0	0	0	0	50	10	2078840	1	1
KLF13	204790	324	35	78760	25760	0	0	0	0	50	5	2101880	1	1
KLF14	241201	399	35	86040	30840	0	0	0	0	50	5	2114640	1	1
KLF15	181307	600	34	114840	36240	0	0	0	0	50	6	2105800	1	1
KLF16	2226995	214	26	66760	25040	0	0	0	0	50	8	2717840	1	1
KLF17	865527	167	38	109840	32000	0	0	0	0	50	8	2279360	1	1
KLF2	785109	258	12	94800	34560	0	0	0	0	50	5	2610280	1	1
KLF3	294258	364	39	99320	27640	0	0	1	0	35	5	1195760	1	1
